,travel time,distance,hour of day,1st ranked,2nd ranked,3rd ranked,4d ranked,5th ranked,6th ranked,1st dist,2nd dist,3rd dist,4rd dist,5th dist,6th dist
5602,426,4871.523000000001,21,primary,residential,service,nan,nan,nan,0.7739862872452823,0.1511170120719947,0.07489670068272282,,,
5603,473,4618.273,0,primary,residential,service,nan,nan,nan,0.8164289984589478,0.12125333430916709,0.06231766723188516,,,
5604,416,4952.262000000001,4,primary,residential,service,nan,nan,nan,0.7613676336187382,0.16495674098018237,0.07367562540107933,,,
5605,534,4741.814,9,primary,residential,service,nan,nan,nan,0.7951581399017338,0.13813996078294086,0.0667018993153253,,,
5606,876,4854.990000000001,12,primary,service,residential,nan,nan,nan,0.7766219909824736,0.11623999225539083,0.10713801676213544,,,
5607,381,3534.045,20,residential,unclassified,nan,nan,nan,nan,0.942487998879471,0.05751200112052902,,,,
5608,1062,5536.654000000001,23,primary,residential,service,nan,nan,nan,0.6810055314997107,0.20375934634889586,0.11523512215139324,,,
5609,1627,5022.589,0,primary,residential,service,nan,nan,nan,0.7507068565634178,0.14340452702779383,0.10588861640878838,,,
5610,541,5042.855,8,primary,residential,service,nan,nan,nan,0.7476899494433213,0.1399635722224811,0.11234647833419761,,,
5611,482,5051.963000000001,10,primary,residential,service,nan,nan,nan,0.7463419664791685,0.23840435886011035,0.01525367466072099,,,
5612,2028,35124.807,12,primary,secondary,residential,primary_link,service,nan,0.9386216983341715,0.029660661195946215,0.012498801772775573,0.010857369266114403,0.008361469430992176,
5613,477,4760.293,14,primary,residential,service,nan,nan,nan,0.8019378218945767,0.13760371472932445,0.060458463376098906,,,
5614,480,4762.8290000000015,16,primary,service,residential,nan,nan,nan,0.7916496687157988,0.10729652481749814,0.10105380646670284,,,
5615,379,4912.725,23,primary,residential,service,nan,nan,nan,0.7674950256731243,0.14984962520800574,0.08265534911886988,,,
5616,376,4918.579,0,primary,residential,service,nan,nan,nan,0.7665815675625014,0.14349998241361983,0.08991845002387885,,,
5617,495,4644.907000000001,13,primary,residential,service,nan,nan,nan,0.8117475764315625,0.11082202506960846,0.0774303984988289,,,
5618,542,4983.314,14,primary,residential,service,nan,nan,nan,0.7566234036225692,0.1477269945261326,0.09564960185129813,,,
5619,564,4943.0380000000005,13,primary,residential,service,nan,nan,nan,0.7627883904594704,0.14893067785438832,0.08828093168614118,,,
