move,vehicle,hour,mean_speed
hs_sphs,110JG,17,14.83796296
hs_sphs,110JG,21,17.17320261
hs_sphs,110JG,12,16.38888889
hs_sphs,110JG,15,17.32180294
hs_sphs,110JG,16,16.04938272
hs_sphs,110JG,0,18.17966903
hs_sphs,110JG,12,15.41666667
hs_sphs,110JG,15,16.15248227
hs_sphs,110JG,20,15.73987539
hs_sphs,110JG,15,15.54143126
hs_sphs,110JG,20,17.00904393
hs_sphs,110JG,9,14.98316498
hs_sphs,110JG,13,15.20964361
hs_sphs,110JG,17,15.78282828
hs_sphs,110JG,16,22.48644986
hs_sphs,110JG,18,17.73550725
hs_sphs,110JG,19,17.12264151
hs_sphs,110JG,21,17.84143519
hs_sphs,110JG,16,15.30510018
hs_sphs,110JG,20,17.24444444
hs_sphs,110JG,9,16.41812865
hs_sphs,110JG,20,16.06818182
hs_sphs,110JG,23,18.56481481
hs_sphs,110JG,11,18.72739018
hs_sphs,110JG,18,17.84644195
hs_sphs,110JG,7,17.37922705
hs_sphs,110JG,1,19.15432099
hs_sphs,110JG,21,17.60770975
hs_sphs,110JG,15,17.31231231
hs_sphs,110JG,20,16.91580756
hs_sphs,110JG,15,24.37238931
hs_sphs,110JG,10,16.69854281
hs_sphs,110JG,12,16.90217391
hs_sphs,110JG,16,17.30725624
hs_sphs,110JG,0,15.42735043
hs_sphs,110JG,16,16.93415638
hs_sphs,110JG,13,16.15009747
hs_sphs,110JG,15,15.162206
hs_sphs,110JG,20,17.22853535
hs_sphs,110JG,21,17.04594017
hs_sphs,110JG,18,14.8974359
hs_sphs,110JG,23,18.2416953
hs_sphs,110JG,1,15.82323232
hs_sphs,110JG,4,14.55908289
hs_sphs,110JG,13,17.31837607
hs_sphs,110JG,19,15.60386473
hs_sphs,110JG,0,17.9053288
hs_sphs,110JG,10,15.33011272
hs_sphs,110JG,17,15.65972222
hs_sphs,110JG,19,15.95387841
hs_sphs,110JG,0,13.50462963
hs_sphs,110JG,4,17.50514403
hs_sphs,110JG,9,15.07011866
hs_sphs,110JG,21,14.8108747
hs_sphs,110JG,15,14.88215488
hs_sphs,110JG,18,17.08193042
hs_sphs,110JG,17,15.39961014
hs_sphs,110JG,22,17.37777778
hs_sphs,110JG,2,17.57575758
hs_sphs,110JG,14,17.80277778
hs_sphs,110JG,16,15.79656863
hs_sphs,110JG,17,15.78625235
hs_sphs,110JG,20,18.1918239
hs_sphs,110JG,13,29.77534307
hs_sphs,110JG,18,18.06547619
hs_sphs,110JG,21,16.6723356
hs_sphs,110JG,22,16.59722222
hs_sphs,110JG,16,21.21296296
hs_sphs,110JG,18,16.17283951
hs_sphs,110JG,20,17.98463357
hs_sphs,110JG,6,17.04232804
hs_sphs,110JG,18,14.22043011
hs_sphs,110JG,20,15.92948718
hs_sphs,110JG,1,15.48737374
hs_sphs,110JG,10,16.46572104
hs_sphs,110JG,3,18.35917313
hs_sphs,110JG,12,16.66005291
hs_sphs,110JG,22,15.56784661
hs_sphs,110JG,20,16.70405983
hs_sphs,110JG,21,18.58932462
hs_sphs,110JG,21,16.47964796
hs_sphs,110JG,17,13.99668325
hs_sphs,110JG,10,15.05128205
hs_sphs,110JG,20,16.14351852
hs_sphs,110JG,3,18.89550265
hs_sphs,110JG,13,15.00881834
hs_sphs,110JG,20,17.26337449
hs_sphs,110JG,12,15.13047138
hs_sphs,110JG,16,15.58333333
hs_sphs,110JG,21,21.87687688
hs_sphs,110JG,0,19.22839506
hs_sphs,110JG,22,16.3640873
hs_sphs,110JG,5,16.30503145
hs_sphs,110JG,19,15.35185185
hs_sphs,110JG,21,18.28395062
hs_sphs,110JG,17,15.63888889
hs_sphs,110JG,21,17.29044834
hs_sphs,110JG,11,15.12675297
hs_sphs,110JG,20,15.6986532
hs_sphs,110JG,11,15.61431624
hs_sphs,110JG,17,16.34081197
hs_sphs,110JG,20,19.59795322
hs_sphs,110JG,10,14.40656566
hs_sphs,110JG,15,14.539801
hs_sphs,110JG,0,18.03782506
hs_sphs,110JG,17,17.71604938
hs_sphs,110JG,18,16.94444444
hs_sphs,110JG,21,16.37840671
