,vehicle,No added edges
1376,125KK,56
1377,125KK,51
1378,125KK,64
1379,125KK,26
1380,125KK,51
1381,125KK,63
1382,125KK,11
1383,125KK,110
1384,125KK,103
1385,125KK,38
1386,125KK,59
1387,125KK,32
1388,125KK,81
1389,125KK,58
1390,125KK,39
1391,125KK,68
1392,125KK,55
1393,125KK,63
1394,125KK,61
1395,125KK,55
1396,125KK,84
1397,125KK,40
1398,125KK,56
1399,125KK,50
1400,125KK,27
1401,125KK,58
1402,125KK,55
1403,125KK,5
1404,125KK,19
1405,125KK,22
1406,125KK,88
1407,125KK,35
1408,125KK,49
1409,125KK,55
1410,125KK,51
1411,125KK,99
1412,125KK,42
1413,125KK,45
1414,125KK,135
1415,125KK,57
1416,125KK,71
1417,125KK,117
1418,125KK,79
1419,125KK,28
1420,125KK,149
1421,125KK,39
1422,125KK,43
1423,125KK,27
1424,125KK,59
1425,125KK,170
1426,125KK,41
1427,125KK,87
1428,125KK,45
1429,125KK,7
1430,125KK,58
1431,125KK,73
1432,125KK,36
1433,125KK,54
1434,125KK,142
1435,125KK,33
1436,125KK,75
1437,125KK,68
1438,125KK,99
1439,125KK,60
1440,125KK,61
1441,125KK,51
1442,125KK,67
1443,125KK,82
1444,125KK,49
1445,125KK,40
1446,125KK,38
1447,125KK,75
1448,125KK,51
1449,125KK,52
1450,125KK,26
1451,125KK,69
1452,125KK,69
1453,125KK,51
1454,125KK,7
1455,125KK,39
1456,125KK,48
1457,125KK,35
1458,125KK,78
1459,125KK,65
1460,125KK,26
1461,125KK,49
1462,125KK,44
1463,125KK,50
1464,125KK,51
1465,125KK,27
1466,125KK,58
1467,125KK,47
1468,125KK,60
1469,125KK,49
1470,125KK,12
1471,125KK,65
1472,125KK,57
1473,125KK,63
1474,125KK,33
1475,125KK,62
1476,125KK,51
1477,125KK,29
1478,125KK,97
1479,125KK,64
1480,125KK,16
1481,125KK,112
1482,125KK,69
1483,125KK,122
1484,125KK,40
1485,125KK,44
1486,125KK,15
1487,125KK,51
1488,125KK,83
1489,125KK,48
1490,125KK,79
1491,125KK,23
1492,125KK,55
1493,125KK,87
1494,125KK,119
1495,125KK,0
1496,125KK,13
1497,125KK,23
1498,125KK,70
1499,125KK,69
1500,125KK,36
1501,125KK,64
1502,125KK,21
1503,125KK,115
1504,125KK,99
1505,125KK,28
1506,125KK,86
1507,125KK,49
1508,125KK,85
1509,125KK,87
1510,125KK,86
1511,125KK,58
1512,125KK,50
1513,125KK,44
1514,125KK,35
1515,125KK,54
1516,125KK,61
1517,125KK,48
1518,125KK,78
1519,125KK,32
1520,125KK,82
1521,125KK,24
1522,125KK,38
1523,125KK,8
1524,125KK,57
1525,125KK,52
1526,125KK,123
1527,125KK,57
1528,125KK,88
1529,125KK,37
1530,125KK,49
1531,125KK,42
1532,125KK,9
1533,125KK,29
1534,125KK,37
1535,125KK,48
1536,125KK,103
1537,125KK,95
1538,125KK,78
1539,125KK,10
1540,125KK,44
1541,125KK,75
1542,125KK,22
1543,125KK,41
1544,125KK,81
1545,125KK,40
1546,125KK,124
1547,125KK,75
1548,125KK,30
1549,125KK,29
1550,125KK,38
1551,125KK,54
1552,125KK,77
1553,125KK,67
1554,125KK,37
1555,125KK,24
1556,125KK,33
1557,125KK,40
1558,125KK,128
1559,125KK,89
1560,125KK,35
1561,125KK,70
1562,125KK,57
1563,125KK,57
1564,125KK,84
1565,125KK,17
1566,125KK,62
1567,125KK,72
1568,125KK,62
1569,125KK,57
1570,125KK,27
1571,125KK,18
1572,125KK,137
1573,125KK,51
1574,125KK,49
1575,125KK,63
1576,125KK,34
1577,125KK,58
1578,125KK,94
1579,125KK,88
1580,125KK,67
1581,125KK,66
1582,125KK,135
1583,125KK,9
1584,125KK,150
1585,125KK,37
1586,125KK,30
1587,125KK,59
1588,125KK,22
1589,125KK,64
1590,125KK,49
1591,125KK,87
1592,125KK,40
1593,125KK,97
1594,125KK,46
1595,125KK,50
1596,125KK,52
1597,125KK,22
1598,125KK,14
1599,125KK,13
1600,125KK,130
1601,125KK,3
1602,125KK,15
1603,125KK,88
1604,125KK,28
1605,125KK,111
1606,125KK,115
1607,125KK,73
1608,125KK,47
1609,125KK,94
1610,125KK,81
1611,125KK,40
1612,125KK,62
1613,125KK,80
1614,125KK,64
1615,125KK,55
1616,125KK,42
1617,125KK,87
1618,125KK,72
1619,125KK,101
1620,125KK,6
1621,125KK,44
1622,125KK,45
1623,125KK,27
1624,125KK,41
1625,125KK,72
1626,125KK,82
1627,125KK,106
