,travel time,real travel time,euc_dist,distance,hour of day,O lat,O lon,D lat,D lon
9604,440,466.99999998,0.008408670881892752,1546.9270000000001,16,49.220784,18.753662,49.218273,18.745637
9605,400,421.0000000200001,0.02777201960606639,4406.974,19,49.220676,18.753555,49.196333,18.740187
9606,390,417.0,0.03513285579054227,6144.256,1,49.220848,18.753684,49.18890800000001,18.768318
9607,341,346.99999998,0.010322587272579486,3141.9979999999996,6,49.220773,18.753705,49.211385,18.757997
9608,765,792.0,0.12309359229870785,10988.285999999998,9,49.220827,18.753769,49.19365,18.873825
9609,381,406.99999998,0.02321157394490902,3243.5969999999998,21,49.220827,18.753684,49.208413,18.734071
9610,375,402.0,0.020001025598703526,2782.978,9,49.220784,18.753641,49.210484,18.736496
9611,504,520.99999998,0.021532739769940287,3164.471,16,49.220827,18.753855,49.207716,18.770936
9612,938,964.0000002,0.07133042846499828,12945.419000000002,20,49.22073,18.753662,49.149405,18.754542
9613,261,288.0,0.020985816948594676,2102.228,23,49.22088,18.75392,49.206268,18.768983
9614,183,208.00000002000002,0.014346739908421226,2144.62,9,49.220837,18.753834,49.215012,18.740723000000006
9615,462,489.0,0.01718355172832498,2894.372,16,49.220773,18.753684,49.21146,18.768125
9616,290,316.99999998,0.018465546837284717,2634.569,15,49.220773,18.753791,49.205291,18.743727
9617,509,520.99999998,0.06882011771277313,8914.685000000001,16,49.220827,18.753748,49.160756,18.787329
9618,352,378.0,0.013013981596727363,1432.514,18,49.220869,18.753812,49.216363,18.741603
9619,315,342.0,0.016758403742597974,2728.5619999999994,22,49.220848,18.753877,49.207448,18.743813
9620,376,403.00000002,0.009744318652422968,1905.957,2,49.220869,18.753726,49.21513,18.761601
9621,1216,1234.0000002,0.13622973998360294,17323.127,6,49.220762,18.753748,49.22479600000001,18.617578
9622,1177,1182.0,0.08148444092586205,14767.721,9,49.220709,18.753619,49.141766,18.773811
9623,914,940.9999998,0.11329709892578863,17874.047,14,49.220784,18.753662,49.210441,18.640838
9624,690,715.0000001999999,0.01549927640246517,4745.461,18,49.220912,18.753619,49.210967,18.765507
9625,239,265.99999998,0.0065427647061478,1781.8509999999999,20,49.220751,18.753684,49.217672,18.747911
9626,2125,2127.0,0.22920039865803474,29784.052,9,49.220784,18.753662,49.059948,18.916955
9627,165,192.0,0.008061864052443395,902.7719999999999,16,49.220859,18.753748,49.224335,18.746474
9628,612,639.0,0.02124726770668932,3462.636,19,49.220687,18.753598,49.203328000000006,18.76585
9629,300,325.00000002,0.02124722174779333,3051.769999999999,8,49.220859,18.753748,49.203843,18.766472
9630,1500,1527.0,0.31302875855422696,37082.028999999995,16,49.220805,18.753705,49.277024,18.445766
9631,359,355.99999998,0.006395927610599717,2230.2599999999998,9,49.220837,18.753641,49.214936,18.756108
9632,249,276.0,0.0133376953031632,1540.113,10,49.220762,18.753726,49.215108,18.741646
9633,379,379.00000002,0.05401697737748732,5470.129,17,49.220773,18.753705,49.21587,18.807499
9634,300,327.0,0.020715768510966712,2561.8849999999998,21,49.220762,18.753769,49.20733,18.737998
9635,301,328.00000002,0.022535682017639298,3066.6710000000003,22,49.220837,18.753748,49.207029,18.735938
9636,365,384.0,0.04428509898374109,5916.62,8,49.220816,18.753769,49.179402,18.769455
9637,260,274.99999998,0.05503454177151007,5407.215,12,49.220784,18.753705,49.224142,18.808637
9638,304,331.0000000200001,0.006938759903616758,2413.094,19,49.220837,18.753834,49.217404,18.747804
9639,346,372.0,0.018110721161786508,3070.642,5,49.220805,18.753641,49.207791,18.766236
9640,1114,1141.0000002,0.006512389807132716,1723.7089999999998,7,49.220837,18.753619,49.217662,18.747933
9641,606,627.0,0.05352965281038147,7553.490999999999,15,49.22088,18.753877,49.179091,18.720424
9642,700,727.0000002,0.12292435591452086,9408.975,22,49.220816,18.753684,49.21013,18.876143
9643,293,319.99999998,0.01117143415143399,1760.791,0,49.220794,18.753705,49.21514000000001,18.76334
9644,339,366.0,0.013163449775797266,1572.7900000000002,7,49.220848,18.753769,49.218799,18.740766
9645,309,334.99999998,0.018806972244358306,2887.274,18,49.220827,18.753769,49.206289,18.7657
9646,429,454.99999998,0.028156863266348333,5393.188,20,49.220762,18.753662,49.19718,18.738277
9647,194,208.99999998,0.012406889416771358,2263.228,0,49.220794,18.753769,49.210935,18.761301
9648,433,439.00000002,0.024932783960078714,2580.7300000000005,8,49.220623,18.753555,49.230493,18.730659
9649,990,1015.9999998,0.13735960494994068,18419.655999999995,9,49.220848,18.753769,49.33955200000001,18.822885
9650,732,759.0,0.07233363555773768,12148.876,13,49.220805,18.753641,49.148772,18.747053
9651,917,943.9999998000001,0.05744213493595172,6197.083,14,49.220827,18.753791,49.184906,18.798616
9652,722,745.0000001999999,0.05828883890591657,8931.969000000001,10,49.220923,18.753576,49.238969,18.809001
9653,281,339.0,0.007240889448126531,1812.4420000000002,13,49.220848,18.753684,49.217372,18.747332
9654,685,688.9999998000001,0.16896541076800575,14297.478000000001,15,49.220623,18.753555,49.214379,18.922405
9655,989,1015.9999998,0.28429659266512736,23527.233,18,49.220869,18.753769,49.256618,19.035809
9656,441,462.0,0.02197731296132238,3196.963,1,49.220805,18.753726,49.204883,18.738577
9657,402,412.00000002,0.025468381436588333,4366.8150000000005,7,49.220666,18.753533,49.20075300000001,18.737655
9658,336,363.0,0.02126480305575262,2661.442,9,49.220805,18.753619,49.2038,18.766387
9659,698,702.0,0.08454012758447964,9804.725000000002,13,49.220698,18.753576,49.207694,18.670042
9660,434,460.99999998,0.03450799387098426,4577.418000000001,20,49.220837,18.753705,49.220312,18.719201
9661,318,345.0,0.049560404861140835,4720.822,14,49.220827,18.753662,49.22559,18.802993
9662,887,913.9999998000001,0.024844839967280933,7353.045,16,49.220859,18.753834,49.196086,18.755722
9663,1251,1278.0,0.2495145131049485,33310.725999999995,19,49.22088,18.753705,49.321345,18.52531
9664,193,217.00000002000002,0.013138888575519422,1338.345,10,49.220816,18.753641,49.219453,18.740573
9665,905,928.0000002,0.11489747200004159,14836.874,14,49.220869,18.753877,49.311753,18.683581
9666,310,336.0,0.0067140166815417976,1389.8290000000002,17,49.220869,18.753855,49.217747,18.747911
9667,1338,1365.0,0.12930946494746787,19299.483,20,49.220666,18.753684,49.100181,18.706734
9668,278,304.00000002,0.00718770964911873,582.1419999999999,23,49.220816,18.753855,49.223487,18.747182
9669,814,841.0000001999999,0.12056746892922353,11145.305999999999,8,49.220794,18.753748,49.202952,18.872988
9670,693,721.0000001999999,0.05579871787953424,8065.2660000000005,13,49.220762,18.753576,49.174371,18.72257
9671,364,385.00000002,0.018250221368521318,1816.8060000000003,16,49.220816,18.753748,49.219732,18.73553
9672,325,352.00000002,0.0065835480555665625,1932.7109999999998,19,49.220794,18.753705,49.217747,18.747869
9673,712,739.0000002,0.13300510751471178,10439.785,22,49.220848,18.753619,49.213113,18.886399
9674,533,550.00000002,0.02261407959658125,3487.711999999999,8,49.22029000000001,18.753812,49.201654,18.741002
9675,245,271.99999998,0.006398824970254208,1405.617,19,49.220762,18.753641,49.217747,18.747997
