EdgeID,Highway
58382,residential
58383,residential
58384,residential
58385,tertiary
58389,residential
58390,residential
58391,residential
58392,residential
58393,residential
58394,residential
58395,residential
58396,residential
58397,residential
58398,residential
58399,residential
58400,residential
58401,residential
58403,primary
58404,primary
58405,primary
58406,primary
58407,primary
58408,primary
58409,primary
58410,primary
58416,residential
58417,residential
58418,service
58419,service
58420,service
58421,service
58422,residential
58423,residential
58424,residential
58425,residential
58426,residential
58427,residential
58428,residential
58429,residential
58430,residential
58431,residential
58440,residential
58441,residential
58450,primary_link
58451,primary
58452,primary
58453,primary
58454,primary_link
58455,primary
58456,primary
58457,primary
58458,primary_link
58459,primary
58460,primary_link
58461,primary
58462,primary
58463,primary
58464,primary
58465,primary_link
58466,primary_link
58467,primary_link
58468,secondary
58469,primary
58475,residential
58476,residential
58477,residential
58479,residential
58480,residential
58481,residential
58482,residential
58483,residential
58484,residential
58485,residential
58486,residential
58487,residential
58488,residential
58489,residential
58490,residential
58493,residential
58494,residential
58495,residential
58496,residential
58497,residential
58498,residential
58499,residential
58500,residential
58605,residential
58606,residential
58607,residential
58608,residential
58609,residential
58736,primary
58737,primary
58738,primary
58794,residential
58795,residential
58796,residential
61188,residential
61189,residential
61190,residential
61192,service
61193,service
61194,residential
61195,residential
61197,service
61199,service
61217,residential
61218,residential
61219,service
61384,residential
61386,residential
61389,residential
61391,residential
61392,tertiary
61393,residential
61394,residential
61395,residential
61396,residential
61397,residential
61398,residential
61399,residential
61504,residential
61505,residential
61506,residential
61507,residential
61508,residential
61509,residential
61510,service
61511,service
61512,service
61513,service
61514,service
61515,service
61519,service
61520,service
61522,service
61523,service
61620,residential
61621,residential
61622,residential
61623,residential
61624,residential
61625,residential
61626,residential
61627,unclassified
61628,unclassified
61629,unclassified
61630,unclassified
61631,residential
61632,residential
61633,residential
61634,residential
61635,residential
61636,residential
61637,residential
61638,residential
61639,residential
61640,residential
61641,residential
61642,residential
61643,residential
61644,residential
61645,residential
61646,residential
61647,residential
61648,residential
61649,residential
61650,unclassified
61651,primary
61652,residential
61653,residential
61654,residential
61655,residential
61656,residential
61657,residential
61658,residential
61659,residential
61660,residential
61661,residential
61662,unclassified
61663,unclassified
61664,unclassified
61665,unclassified
61666,unclassified
61667,unclassified
61668,residential
61669,primary
61845,residential
61846,residential
61847,residential
61848,residential
61849,residential
61850,residential
61851,service
61852,service
61853,service
61854,service
61855,service
61856,service
61857,service
61858,residential
61859,residential
61905,primary_link
62032,primary
62033,residential
62037,service
62039,service
62045,service
62046,service
62056,service
62057,service
62065,residential
62067,residential
62068,residential
62069,residential
62070,residential
62071,residential
62072,residential
62073,residential
62074,residential
62075,residential
62076,residential
62424,unclassified
62425,unclassified
62636,primary_link
62637,primary_link
62650,residential
62651,residential
62652,residential
62660,residential
62661,residential
62662,residential
62663,residential
62664,residential
62665,residential
62666,residential
62667,residential
62674,residential
62675,residential
62676,residential
62677,residential
62678,residential
62679,residential
62680,residential
62695,tertiary
62696,tertiary
62697,tertiary
62698,tertiary
62699,residential
62700,residential
62701,residential
62702,primary
62703,primary
62704,tertiary
62705,tertiary
62706,tertiary
62710,residential
62711,residential
62712,residential
62753,residential
62757,residential
62763,residential
62764,residential
62768,tertiary
62769,tertiary
62770,tertiary
62771,tertiary
62772,tertiary
62773,tertiary
62774,tertiary
62775,tertiary
62776,tertiary
62777,tertiary
62778,tertiary
62779,residential
62780,residential
62781,residential
62782,residential
62783,residential
62784,residential
62785,residential
62786,residential
62787,residential
62788,tertiary
62789,tertiary
62790,tertiary
62791,tertiary
62792,tertiary
62793,tertiary
62794,tertiary
62795,tertiary
62796,residential
62797,residential
62798,tertiary
62801,residential
62809,service
62813,residential
62815,tertiary
62816,tertiary
62817,tertiary
62818,tertiary
62899,residential
62900,residential
62901,residential
62902,residential
62903,residential
62904,residential
62905,residential
62906,residential
62907,residential
62908,residential
62909,residential
62910,residential
62911,residential
62912,residential
62913,residential
62914,residential
62915,residential
62916,residential
62917,residential
62918,residential
62919,residential
62920,residential
62921,residential
62922,residential
62923,residential
62924,residential
62925,residential
62926,residential
62927,residential
62928,residential
62965,residential
62966,residential
62967,residential
62974,service
62977,residential
62978,residential
62979,residential
62980,residential
62982,residential
62983,residential
63012,residential
63013,residential
63014,residential
63025,primary
63026,primary
63028,primary
63029,primary
63030,primary
63192,residential
63193,residential
63194,residential
63195,residential
63196,residential
63197,residential
63199,residential
63200,service
63201,residential
63202,residential
63203,unclassified
63204,unclassified
63205,residential
63216,residential
63217,residential
63218,residential
63219,residential
63220,residential
63221,residential
63222,residential
63223,residential
63224,residential
63225,residential
63262,residential
63263,living_street
63264,living_street
63265,living_street
63266,living_street
63269,living_street
63271,residential
63272,residential
63273,residential
63274,residential
63277,residential
63278,residential
63279,residential
63280,residential
63281,primary_link
63282,primary
63283,residential
63284,residential
63285,residential
63287,residential
63288,residential
63289,residential
63290,residential
63291,residential
63292,residential
63293,residential
63294,residential
63295,residential
63296,primary
63297,primary
64396,residential
64397,residential
64398,residential
64399,residential
64400,residential
64401,residential
64402,residential
64403,residential
64599,motorway_link
64661,residential
64662,residential
64665,residential
64666,residential
64667,residential
64668,residential
64751,primary
64752,primary
64753,primary
64754,primary
65225,tertiary
65257,residential
65258,residential
65259,residential
65260,residential
65261,residential
65262,residential
65264,tertiary
65268,tertiary
65269,tertiary
65328,tertiary
65344,tertiary
65345,residential
65346,residential
65347,residential
65348,tertiary
65397,residential
65398,residential
65581,residential
65583,residential
65584,residential
65585,residential
65586,residential
65587,residential
65588,residential
65589,residential
65594,residential
65595,residential
65596,residential
65597,residential
65598,residential
65599,residential
65600,residential
65601,residential
65602,residential
65603,residential
65604,residential
65605,residential
65606,residential
65609,residential
65610,residential
65611,residential
65612,residential
65613,residential
65614,residential
65615,residential
65616,residential
65617,residential
65618,residential
65619,residential
65620,tertiary
65621,tertiary
65622,residential
65623,residential
65624,residential
65625,residential
65626,residential
65627,residential
65633,residential
65634,tertiary
65635,secondary
65636,residential
65637,residential
65642,residential
65643,residential
65644,residential
65687,residential
65690,residential
65692,residential
65693,residential
65694,residential
65695,residential
65696,residential
65697,residential
65698,residential
65699,tertiary
65700,tertiary
65701,tertiary
65703,residential
65704,residential
65705,residential
65706,residential
65707,residential
65708,residential
65709,tertiary
65710,tertiary
65711,tertiary
65712,tertiary
65713,residential
65714,tertiary
65715,tertiary
65716,residential
65717,residential
65721,residential
65725,residential
65726,residential
65727,residential
65728,tertiary
65729,tertiary
65731,tertiary
65732,tertiary
65733,tertiary
65735,tertiary
65736,tertiary
65737,tertiary
65738,tertiary
65739,tertiary
65740,tertiary
65741,tertiary
65742,tertiary
65743,residential
65770,track
65772,tertiary
65773,tertiary
65774,tertiary
66372,residential
66373,residential
66374,residential
66375,living_street
66376,living_street
66377,living_street
66379,living_street
66382,residential
66383,residential
66386,residential
66387,residential
66388,residential
66389,residential
66390,residential
66392,residential
66393,residential
66395,residential
66396,residential
66397,residential
66398,residential
66399,residential
66400,residential
66402,residential
66403,residential
66404,residential
66405,residential
66406,residential
66407,residential
66408,residential
66409,residential
66412,residential
66435,residential
66436,residential
66443,residential
66447,residential
66448,residential
66449,residential
66451,residential
66452,residential
66453,residential
66454,residential
66455,residential
66456,residential
66457,residential
66458,residential
66620,residential
66622,residential
66848,residential
66849,residential
66850,residential
66851,residential
66858,residential
66860,residential
66861,residential
66862,residential
66863,residential
66864,residential
66865,residential
66866,residential
66867,residential
66868,residential
66869,residential
66870,residential
66871,residential
66872,residential
66873,residential
66874,residential
66878,residential
66884,residential
66885,residential
