,Time Error [s]
421,-2034.177401816211
422,-2679.183922063586
423,-781.0466347742072
424,-2195.177239392501
425,-1544.1302963519151
426,
427,-1879.5696968385146
428,-1840.5769361604735
429,-796.2866470691883
430,-1238.1160648420482
431,-2690.322667866505
432,-1726.658351163418
433,-3514.4117029312565
434,-1902.8951107965695
435,
436,-2226.4729273883895
437,-2345.8152947139124
438,-875.9838366532867
439,-3156.089786966412
440,-738.5810249493433
441,-3435.705872848299
442,-1475.2914345142403
443,-1916.2592810918463
444,-756.5592747379167
445,-2810.1499635227683
446,
447,-831.4611331186704
448,
449,
450,-2760.335042053827
451,-1979.8274745579697
452,-1705.8281086822326
453,-1074.2164511991607
454,
455,-2164.1512906278417
456,-1492.7346373398445
457,-2348.826395542023
458,
459,-1544.3625794518102
460,-2025.708052211448
461,-2916.4938502450195
462,-1180.7038629690264
463,-1232.4114145342792
464,-3317.010880982987
465,
466,-2181.115053779776
467,-1678.683293220009
468,-3110.457606159568
469,-2461.6313015520523
470,-3574.021786389256
471,-1223.3633777446007
472,
473,-2058.0488600064427
474,-2816.4732346032993
475,-2591.98046713895
476,-2554.5405369592672
477,
478,-3666.810679200852
479,-2119.275776626434
480,
481,-2323.590458756426
482,-2341.101821323791
483,-867.8916416544771
484,-3880.9319918019582
485,-2545.3179394136014
486,
487,-2868.4443675152424
488,-2601.0596450047933
489,-375.66798407704187
490,-1639.2707125592378
491,-2012.0282051804124
492,-2728.6404360650963
493,-2127.337204292975
494,-2902.170310626684
495,
496,-1942.857191623822
497,-2818.369591377961
498,-2061.6689475786334
499,-2365.374314952045
500,-1788.4996998098695
501,-2881.982531639381
502,-1141.8297554779624
503,
504,-2134.7793161156574
505,-2159.2397164212384
506,-1971.1955868032242
507,-1119.7769565529588
508,-2541.8750436458263
509,-1702.3366758353004
510,-2021.2142388510588
511,
512,
513,-2072.221879292589
514,-1093.1878165224098
515,-2272.6817659907615
516,-2981.7662779465054
517,-1498.5836742156657
518,-1341.8617564121446
519,-444.994741330957
520,-2319.3593591771796
521,-2410.4863130298268
522,-1149.2232945409987
523,-2580.2740027490195
524,-1463.3233838528208
525,
526,-1848.1743278565405
527,-2805.5739153396785
528,-1190.5663061944363
529,-1247.10982143245
530,-768.2848740378327
531,
532,-1302.1820369198251
533,-2043.903901321194
534,-1463.8807279456094
535,-2157.941975571472
536,-4031.4067702934226
537,-1388.8705577790406
538,-1794.6298086482798
539,-1741.1534566102848
540,
541,-2129.2704601653054
542,
543,
544,-1498.6398578764818
545,-1221.2958066246529
546,-1390.9628134713394
547,-2208.806439656441
548,
549,-982.3343993374231
550,-1884.994367308434
551,-1598.0149543057405
552,-1004.3960964683281
553,-816.2839134841972
554,-1055.0978719591185
555,-1514.4367821622825
556,-1870.6956840624684
557,-1354.593733322616
558,-1165.626769288729
559,-2049.0054842878053
560,-2591.1293272304924
561,-894.3412232441817
562,-1326.3233273455198
563,-1909.7699619043465
564,-4549.1054733748515
565,-1354.1829533805742
566,-1666.6627471060742
567,-2517.0448207115137
568,-1632.5401012441762
569,
570,-3434.402931196742
571,-1672.402052575766
572,-4197.781992501638
573,-3193.0012999589394
574,-2821.164340891488
575,-304.72516171824446
576,-785.9161293560978
577,
578,-4070.47484900174
579,-3246.1440527563545
580,-3657.50651301164
581,-1735.2487839380606
582,-1509.2574568460248
583,-1487.7194819626252
584,-1723.6788893812045
585,-1562.555383268113
586,-2657.552167685654
587,-2382.001741128812
588,-1949.0809062504923
589,
590,
591,-833.1094866361623
592,-904.9598864508987
593,-1568.049058120058
594,-1538.0663696699103
595,-1114.5750154339244
596,-1963.0863302171629
597,
598,-2814.8362639574248
599,
