EdgeID,Length(m)(poly),Hour_of_Day,time_poly(s)
1381,33.163,1.0,
1381,33.163,2.0,
1381,33.163,3.0,15.0
1381,33.163,4.0,
1381,33.163,5.0,
1381,33.163,6.0,
1381,33.163,7.0,
1381,33.163,8.0,
1381,33.163,9.0,
1381,33.163,10.0,16.0
1381,33.163,11.0,
1381,33.163,12.0,21.0
1381,33.163,13.0,
1381,33.163,14.0,
1381,33.163,15.0,22.0
1381,33.163,16.0,19.0
1381,33.163,17.0,24.0
1381,33.163,18.0,19.0
1381,33.163,19.0,16.0
1381,33.163,20.0,19.0
1381,33.163,21.0,
1381,33.163,22.0,19.0
1381,33.163,23.0,
1382,45.485,0.0,20.782608695652176
1382,45.485,1.0,21.142857142857142
1382,45.485,2.0,21.55
1382,45.485,3.0,21.266666666666666
1382,45.485,4.0,21.36842105263158
1382,45.485,5.0,22.38888888888889
1382,45.485,6.0,21.94736842105263
1382,45.485,7.0,25.8125
1382,45.485,8.0,23.941176470588236
1382,45.485,9.0,22.681818181818183
1382,45.485,10.0,22.416666666666668
1382,45.485,11.0,25.91304347826087
1382,45.485,12.0,22.391304347826086
1382,45.485,13.0,22.90909090909091
1382,45.485,14.0,22.26923076923077
1382,45.485,15.0,24.833333333333332
1382,45.485,16.0,22.0
1382,45.485,17.0,23.157894736842106
1382,45.485,18.0,22.244444444444444
1382,45.485,19.0,21.789473684210527
1382,45.485,20.0,21.681818181818183
1382,45.485,21.0,21.886363636363637
1382,45.485,22.0,21.725
1382,45.485,23.0,21.387096774193548
1383,236.086,0.0,18.714285714285715
1383,236.086,1.0,17.606060606060606
1383,236.086,2.0,17.416666666666668
1383,236.086,3.0,21.517241379310345
1383,236.086,4.0,19.1
1383,236.086,5.0,17.857142857142858
1383,236.086,6.0,19.84
1383,236.086,7.0,26.88888888888889
1383,236.086,8.0,31.529411764705884
1383,236.086,9.0,23.475
1383,236.086,10.0,27.142857142857142
1383,236.086,11.0,32.86206896551724
1383,236.086,12.0,37.38461538461539
1383,236.086,13.0,28.34285714285714
1383,236.086,14.0,38.833333333333336
1383,236.086,15.0,32.146341463414636
1383,236.086,16.0,26.0
1383,236.086,17.0,27.775510204081634
1383,236.086,18.0,21.08
1383,236.086,19.0,23.743589743589745
1383,236.086,20.0,19.333333333333332
1383,236.086,21.0,19.27777777777778
1383,236.086,22.0,21.75925925925926
1383,236.086,23.0,20.27027027027027
1384,51.248,0.0,18.0
1384,51.248,1.0,15.0
1384,51.248,2.0,15.0
1384,51.248,3.0,
1384,51.248,4.0,14.0
1384,51.248,5.0,
1384,51.248,6.0,13.5
1384,51.248,7.0,15.0
1384,51.248,8.0,
1384,51.248,9.0,
1384,51.248,10.0,
1384,51.248,11.0,15.0
1384,51.248,12.0,
1384,51.248,13.0,
1384,51.248,14.0,14.0
1384,51.248,15.0,15.0
1384,51.248,16.0,18.0
1384,51.248,17.0,
1384,51.248,18.0,15.75
1384,51.248,19.0,13.5
1384,51.248,20.0,16.75
1384,51.248,21.0,16.0
1384,51.248,22.0,13.0
1384,51.248,23.0,
1385,375.486,0.0,26.571428571428573
1385,375.486,1.0,23.53846153846154
1385,375.486,2.0,22.166666666666668
1385,375.486,3.0,23.0
1385,375.486,4.0,19.142857142857142
1385,375.486,5.0,22.666666666666668
1385,375.486,6.0,27.714285714285715
1385,375.486,7.0,29.5
1385,375.486,8.0,26.8
1385,375.486,9.0,31.6
1385,375.486,10.0,27.333333333333332
1385,375.486,11.0,39.75
1385,375.486,12.0,34.75
1385,375.486,13.0,31.4
1385,375.486,14.0,29.0
1385,375.486,15.0,30.45
1385,375.486,16.0,30.857142857142858
1385,375.486,17.0,26.733333333333334
1385,375.486,18.0,28.636363636363637
1385,375.486,19.0,21.1
1385,375.486,20.0,29.526315789473685
1385,375.486,21.0,31.0
1385,375.486,22.0,26.428571428571427
1385,375.486,23.0,26.285714285714285
1386,321.856,0.0,61.4
1386,321.856,1.0,85.35714285714286
1386,321.856,2.0,57.6
1386,321.856,3.0,39.166666666666664
1386,321.856,4.0,54.55555555555556
1386,321.856,5.0,51.75
1386,321.856,6.0,55.75
1386,321.856,7.0,46.25
1386,321.856,8.0,37.333333333333336
1386,321.856,9.0,104.0
1386,321.856,10.0,65.0
1386,321.856,11.0,43.375
1386,321.856,12.0,65.75
1386,321.856,13.0,90.75
1386,321.856,14.0,63.0
1386,321.856,15.0,41.06666666666667
1386,321.856,16.0,26.444444444444443
1386,321.856,17.0,71.5
1386,321.856,18.0,36.19047619047619
1386,321.856,19.0,39.5
1386,321.856,20.0,27.68421052631579
1386,321.856,21.0,25.928571428571427
1386,321.856,22.0,28.083333333333332
1386,321.856,23.0,26.238095238095237
1387,62.128,0.0,
1387,62.128,1.0,12.5
1387,62.128,2.0,
1387,62.128,3.0,12.0
1387,62.128,4.0,10.75
1387,62.128,5.0,
1387,62.128,6.0,19.5
1387,62.128,7.0,14.0
1387,62.128,8.0,14.0
1387,62.128,9.0,12.0
1387,62.128,10.0,12.5
1387,62.128,11.0,11.0
1387,62.128,12.0,10.0
1387,62.128,13.0,9.0
1387,62.128,14.0,13.0
1387,62.128,15.0,16.25
1387,62.128,16.0,12.2
1387,62.128,17.0,12.0
1387,62.128,18.0,13.6
1387,62.128,19.0,15.0
1387,62.128,20.0,15.166666666666666
1387,62.128,21.0,11.0
1387,62.128,22.0,14.555555555555555
1387,62.128,23.0,18.5
1388,70.12,0.0,
1388,70.12,1.0,11.0
1388,70.12,2.0,20.0
1388,70.12,3.0,12.666666666666666
1388,70.12,4.0,10.666666666666666
1388,70.12,5.0,9.0
1388,70.12,6.0,
1388,70.12,7.0,
1388,70.12,8.0,
1388,70.12,9.0,
1388,70.12,10.0,14.5
1388,70.12,11.0,16.5
1388,70.12,12.0,17.333333333333332
1388,70.12,13.0,
1388,70.12,14.0,11.0
1388,70.12,15.0,17.0
1388,70.12,16.0,14.75
1388,70.12,17.0,18.0
1388,70.12,18.0,11.0
1388,70.12,19.0,13.428571428571429
1388,70.12,20.0,15.25
1388,70.12,21.0,14.333333333333334
1388,70.12,22.0,14.25
1388,70.12,23.0,11.0
1389,93.658,0.0,11.6
1389,93.658,1.0,11.666666666666666
1389,93.658,2.0,12.5
1389,93.658,3.0,14.5
1389,93.658,4.0,14.666666666666666
1389,93.658,5.0,17.5
1389,93.658,6.0,18.0
1389,93.658,7.0,11.0
1389,93.658,8.0,13.0
1389,93.658,9.0,11.0
1389,93.658,10.0,13.2
1389,93.658,11.0,11.666666666666666
1389,93.658,12.0,11.333333333333334
1389,93.658,13.0,11.75
1389,93.658,14.0,16.0
1389,93.658,15.0,11.333333333333334
1389,93.658,16.0,10.666666666666666
1389,93.658,17.0,17.5
1389,93.658,18.0,12.090909090909092
1389,93.658,19.0,14.166666666666666
1389,93.658,20.0,14.571428571428571
1389,93.658,21.0,14.0
1389,93.658,22.0,12.0
1389,93.658,23.0,11.75
1390,20.053,0.0,
1390,20.053,1.0,9.0
1390,20.053,2.0,
1390,20.053,3.0,
1390,20.053,4.0,13.666666666666666
1390,20.053,5.0,
1390,20.053,6.0,
1390,20.053,7.0,
1390,20.053,8.0,10.0
1390,20.053,9.0,
1390,20.053,10.0,12.0
1390,20.053,11.0,20.0
1390,20.053,12.0,
1390,20.053,13.0,
