,Unnamed: 0,EdgeID,Length(m)(poly),weight,data avail,from_node,from_lat,from_lon,to_node,to_lat,to_lon
20,20,882,37.621,"[8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848, 8.581768425490848]",3,2515,49.40673261,18.62720013,26181,49.40655044,18.62676297
21,21,883,28.384,"[6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 113.0, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561, 6.474706014968561]",24,2490,49.40530824,18.63619988,2514,49.40505958,18.63628854
22,22,884,125.754,"[218.0, 9.0, 19.5, 16.5, 11.0, 10.0, 15.444444444444445, 40.0, 10.721070044941534, 18.0, 17.333333333333332, 16.333333333333332, 11.0, 22.666666666666668, 28.0, 16.25, 10.5, 12.666666666666666, 11.555555555555555, 11.75, 23.2, 17.166666666666668, 16.5, 12.5]",24,106668,49.38506445,18.59930684,145614,49.38590954,18.60044733
23,23,885,164.231,"[21.33333333333333, 23.6, 12.0, 9.0, 24.0, 66.0, 17.0, 23.666666666666668, 14.5, 27.5, 20.5, 22.0, 26.285714285714285, 20.857142857142858, 22.4, 23.125, 11.0, 19.83333333333333, 20.65, 22.46153846153846, 15.142857142857142, 23.125, 32.57142857142857, 18.33333333333333]",24,145599,49.38688463,18.60215054,145614,49.38590954,18.60044733
24,24,886,11.203,"[0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 10.0, 0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 9.0, 11.0, 0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 0.9551039944135375, 32.0, 10.333333333333334, 78.0, 12.0, 0.9551039944135375, 9.5, 0.9551039944135375]",24,145599,49.38688463,18.60215054,145615,49.38695131,18.60226658
25,25,887,119.311,"[16.333333333333332, 13.333333333333334, 10.171776548913112, 10.171776548913112, 11.5, 20.0, 10.5, 21.5, 13.0, 14.0, 17.0, 20.2, 13.75, 16.0, 17.0, 13.0, 17.5, 15.0, 13.166666666666666, 11.857142857142858, 15.4, 15.363636363636363, 14.25, 37.4]",24,145615,49.38695131,18.60226658,145617,49.38764943,18.60351828
26,26,888,227.409,"[12.75, 14.666666666666666, 14.666666666666666, 17.0, 12.0, 13.0, 15.181818181818182, 12.0, 10.5, 11.666666666666666, 14.75, 17.166666666666668, 15.22222222222222, 18.0, 15.0, 16.9, 16.75, 15.615384615384617, 15.555555555555555, 14.285714285714286, 20.15384615384616, 13.416666666666666, 18.444444444444443, 15.333333333333334]",24,145617,49.38764943,18.60351828,145619,49.38868693,18.60620998
27,27,889,153.766,"[11.0, 16.75, 9.0, 13.109213675354104, 13.0, 16.0, 14.25, 15.666666666666666, 21.0, 14.5, 12.0, 12.375, 15.714285714285714, 13.0, 12.166666666666666, 25.25, 13.109213675354104, 13.875, 14.0, 13.25, 16.25, 15.0, 19.0, 14.0]",24,145604,49.38953611,18.60786047,145619,49.38868693,18.60620998
28,28,890,16.419,"[1.3997904565094952, 1.3997904565094952, 1.3997904565094952, 18.0, 1.3997904565094952, 1.3997904565094952, 16.0, 1.3997904565094952, 1.3997904565094952, 1.3997904565094952, 1.3997904565094952, 1.3997904565094952, 1.3997904565094952, 17.0, 1.3997904565094952, 22.0, 1.3997904565094952, 20.5, 10.0, 1.3997904565094952, 12.0, 1.3997904565094952, 1.3997904565094952, 1.3997904565094952]",24,2486,49.38965736,18.60798993,145604,49.38953611,18.60786047
29,29,891,68.773,"[5.863194412907455, 5.863194412907455, 10.0, 18.0, 5.863194412907455, 5.863194412907455, 11.8, 5.863194412907455, 5.863194412907455, 20.0, 5.863194412907455, 5.863194412907455, 23.0, 5.863194412907455, 5.863194412907455, 14.0, 13.0, 20.0, 15.75, 8.0, 12.0, 22.0, 17.0, 5.863194412907455]",24,2486,49.38965736,18.60798993,145607,49.39019977,18.60844646
30,30,892,43.444,"[3.703788086521622, 3.703788086521622, 3.703788086521622, 3.703788086521622, 3.703788086521622, 17.0, 19.0, 15.0, 3.703788086521622, 3.703788086521622, 12.0, 14.5, 3.703788086521622, 3.703788086521622, 3.703788086521622, 18.0, 17.0, 17.5, 13.0, 10.5, 17.8, 13.25, 18.0, 3.703788086521622]",24,145605,49.39054734,18.60872064,145607,49.39019977,18.60844646
31,31,893,163.516,"[17.25, 18.5, 10.0, 13.94044316259252, 31.0, 13.94044316259252, 10.714285714285714, 19.0, 28.0, 18.0, 22.0, 18.4, 16.5, 20.2, 19.25, 18.444444444444443, 11.0, 15.4, 14.526315789473683, 16.0, 15.0, 18.444444444444443, 14.4, 13.6]",24,145598,49.39177165,18.60996452,145605,49.39054734,18.60872064
32,32,894,202.018,"[11.0, 16.0, 17.0, 14.0, 14.333333333333334, 15.0, 14.538461538461538, 12.333333333333334, 10.0, 16.333333333333332, 13.5, 13.666666666666666, 13.875, 14.666666666666666, 16.8, 12.555555555555555, 15.0, 15.538461538461538, 12.476190476190476, 13.333333333333334, 13.75, 13.916666666666666, 14.0, 13.8]",24,145379,49.39291643,18.61211476,145598,49.39177165,18.60996452
33,33,895,266.218,"[79.0, 22.25, 20.0, 9.0, 20.666666666666668, 15.0, 14.333333333333334, 18.8, 18.5, 28.0, 22.0, 16.166666666666668, 17.0, 17.5, 20.4, 18.727272727272727, 24.0, 76.41666666666667, 14.285714285714286, 16.23076923076923, 17.583333333333332, 15.636363636363637, 16.7, 17.25]",24,145379,49.39291643,18.61211476,145597,49.39384888,18.61549788
34,34,896,245.495,"[22.5, 18.2, 16.0, 14.0, 18.0, 23.0, 15.333333333333334, 16.0, 12.0, 13.5, 15.75, 14.25, 20.666666666666668, 18.428571428571427, 14.333333333333334, 16.818181818181817, 16.5, 17.066666666666666, 16.083333333333332, 18.571428571428573, 15.214285714285714, 14.272727272727272, 17.555555555555557, 16.5]",24,145376,49.39510132,18.61825869,145597,49.39384888,18.61549788
